id,import_id,deliveries_id
221,221,52220
221,221,52221
221,221,52222
221,221,52223
221,221,52224
221,221,52225
221,221,52226
221,221,52227
221,221,52228
221,221,52229
221,221,52230
221,221,52279
221,221,52231
221,221,52232
221,221,52233
221,221,52234
221,221,52235
221,221,52236
221,221,52237
221,221,52238
221,221,52239
221,221,52240
221,221,52241
221,221,52242
221,221,52243
221,221,52244
221,221,52245
221,221,52246
221,221,52247
221,221,52248
221,221,52249
221,221,52250
221,221,52251
221,221,52252
221,221,52253
221,221,52254
221,221,52255
221,221,52256
221,221,52257
221,221,52258
221,221,52259
221,221,52260
221,221,52261
221,221,52262
221,221,52263
221,221,52264
221,221,52265
221,221,52266
221,221,52267
221,221,52268
221,221,52269
221,221,52270
221,221,52271
221,221,52272
221,221,52273
221,221,52274
221,221,52275
221,221,52276
221,221,52277
221,221,52280
221,221,52281
221,221,52282
221,221,52283
221,221,52284
221,221,52285
221,221,52286
221,221,52287
221,221,52288
221,221,52289
221,221,52290
221,221,52291
221,221,52292
221,221,52293
221,221,52294
221,221,52295
221,221,52296
221,221,52297
221,221,52298
221,221,52299
221,221,52300
221,221,52301
221,221,52302
221,221,52303
221,221,52304
221,221,52305
221,221,52306
221,221,52307
221,221,52308
221,221,52309
221,221,52310
221,221,52311
221,221,52312
221,221,52313
221,221,52314
221,221,52315
221,221,52316
221,221,52317
221,221,52318
221,221,52319
221,221,52320
221,221,52321
221,221,52322
221,221,52323
221,221,52324
221,221,52325
221,221,52326
221,221,52327
221,221,52328
221,221,52329
221,221,52330
221,221,52331
221,221,52332
221,221,52333
221,221,52334
221,221,52335
221,221,52336
221,221,52337
221,221,52338
221,221,52339
221,221,52340
221,221,52341
221,221,52342
221,221,52343
221,221,52344
221,221,52345
221,221,52346
221,221,52347
221,221,52348
221,221,52349
221,221,52350
221,221,52351
221,221,52352
221,221,52353
221,221,52354
221,221,52355
221,221,52356
221,221,52357
221,221,52358
221,221,52359
221,221,52360
221,221,52361
221,221,52362
221,221,52363
221,221,52364
221,221,52365
221,221,52366
221,221,52367
221,221,52368
221,221,52369
221,221,52370
221,221,52371
221,221,52372
221,221,52373
221,221,52374
221,221,52375
221,221,52376
221,221,52377
221,221,52378
221,221,52379
221,221,52380
221,221,52381
221,221,52382
221,221,52383
221,221,52384
221,221,52385
221,221,52386
221,221,52387
221,221,52388
221,221,52389
221,221,52390
221,221,52391
221,221,52392
221,221,52393
221,221,52394
221,221,52395
221,221,52396
221,221,52397
221,221,52398
222,222,52399
222,222,52400
222,222,52401
222,222,52402
222,222,52403
222,222,52404
222,222,52405
222,222,52406
222,222,52407
222,222,52408
222,222,52409
222,222,52410
222,222,52411
222,222,52412
222,222,52413
222,222,52414
222,222,52415
222,222,52416
222,222,52417
222,222,52418
222,222,52419
222,222,52420
222,222,52421
222,222,52422
222,222,52423
222,222,52424
222,222,52425
222,222,52426
222,222,52427
222,222,52428
222,222,52429
222,222,52430
222,222,52431
222,222,52432
222,222,52433
222,222,52434
222,222,52435
222,222,52436
222,222,52437
222,222,52438
222,222,52439
222,222,52440
222,222,52441
222,222,52442
222,222,52443
222,222,52444
222,222,52445
222,222,52446
222,222,52447
222,222,52448
222,222,52449
222,222,52450
222,222,52451
222,222,52452
222,222,52453
222,222,52454
222,222,52455
222,222,52456
222,222,52457
222,222,52458
222,222,52459
222,222,52460
222,222,52461
222,222,52462
222,222,52463
222,222,52464
222,222,52465
222,222,52466
222,222,52467
222,222,52468
222,222,52469
222,222,52470
222,222,52471
222,222,52472
222,222,52473
222,222,52474
222,222,52475
222,222,52476
222,222,52477
222,222,52478
222,222,52479
222,222,52480
222,222,52481
222,222,52482
222,222,52483
222,222,52484
222,222,52485
222,222,52486
222,222,52487
222,222,52488
222,222,52489
222,222,52490
222,222,52491
222,222,52492
222,222,52493
222,222,52494
222,222,52495
222,222,52496
222,222,52497
222,222,52498
222,222,52499
222,222,52500
222,222,52501
222,222,52502
222,222,52503
222,222,52504
222,222,52505
222,222,52506
222,222,52507
222,222,52508
222,222,52509
222,222,52510
222,222,52511
222,222,52512
222,222,52513
222,222,52514
222,222,52515
222,222,52516
222,222,52517
222,222,52518
222,222,52519
222,222,52520
222,222,52521
222,222,52522
222,222,52523
222,222,52524
222,222,52525
222,222,52526
222,222,52527
222,222,52528
222,222,52529
222,222,52530
222,222,52531
222,222,52532
222,222,52533
222,222,52534
222,222,52535
222,222,52536
222,222,52537
222,222,52538
222,222,52539
222,222,52540
222,222,52541
222,222,52542
222,222,52543
222,222,52544
222,222,52545
222,222,52546
222,222,52547
222,222,52548
222,222,52549
222,222,52550
222,222,52551
222,222,52552
222,222,52553
222,222,52554
222,222,52555
222,222,52556
222,222,52557
222,222,52558
222,222,52559
222,222,52560
222,222,52561
222,222,52562
222,222,52563
222,222,52564
222,222,52565
222,222,52566
222,222,52567
222,222,52568
222,222,52569
222,222,52570
222,222,52571
222,222,52572
222,222,52573
222,222,52574
222,222,52575
222,222,52576
222,222,52577
222,222,52578
222,222,52579
222,222,52580
222,222,52581
222,222,52582
222,222,52583
222,222,52584
222,222,52585
222,222,52586
222,222,52587
222,222,52588
222,222,52589
222,222,52590
222,222,52591
222,222,52592
222,222,52593
222,222,52594
222,222,52595
222,222,52596
222,222,52597
222,222,52598
222,222,52599
222,222,52600
222,222,52601
222,222,52602
222,222,52603
222,222,52604
222,222,52605
222,222,52606
222,222,52607
222,222,52608
222,222,52609
222,222,52610
223,223,52611
223,223,52612
223,223,52613
223,223,52614
223,223,52615
223,223,52616
223,223,52617
223,223,52618
223,223,52619
223,223,52620
223,223,52621
223,223,52622
223,223,52623
223,223,52624
223,223,52625
223,223,52626
223,223,52627
223,223,52628
223,223,52629
223,223,52630
223,223,52631
223,223,52632
223,223,52633
223,223,52634
223,223,52635
223,223,52636
223,223,52637
223,223,52638
223,223,52639
223,223,52640
223,223,52641
223,223,52642
223,223,52643
223,223,52644
223,223,52645
223,223,52646
223,223,52647
223,223,52648
223,223,52649
223,223,52650
223,223,52651
223,223,52652
223,223,52653
223,223,52654
223,223,52655
223,223,52656
223,223,52657
223,223,52658
223,223,52659
223,223,52660
223,223,52661
223,223,52662
223,223,52663
223,223,52664
223,223,52665
223,223,52666
223,223,52667
223,223,52668
223,223,52669
223,223,52670
223,223,52671
223,223,52672
223,223,52673
223,223,52674
223,223,52675
223,223,52676
223,223,52677
223,223,52678
223,223,52679
223,223,52680
223,223,52681
223,223,52682
223,223,52683
223,223,52684
223,223,52685
223,223,52686
223,223,52687
223,223,52688
223,223,52689
223,223,52690
223,223,52691
223,223,52692
223,223,52693
223,223,52694
223,223,52695
223,223,52696
223,223,52697
223,223,52698
223,223,52699
223,223,52700
223,223,52701
223,223,52702
223,223,52703
223,223,52704
223,223,52705
223,223,52706
223,223,52707
223,223,52708
223,223,52709
223,223,52710
223,223,52711
223,223,52712
223,223,52713
223,223,52714
223,223,52715
223,223,52716
223,223,52717
223,223,52718
223,223,52719
223,223,52720
223,223,52721
223,223,52722
223,223,52723
223,223,52724
223,223,52725
223,223,52726
223,223,52727
223,223,52728
223,223,52729
223,223,52730
223,223,52731
223,223,52732
223,223,52733
223,223,52734
223,223,52735
223,223,52736
223,223,52737
223,223,52738
223,223,52739
223,223,52740
223,223,52741
223,223,52742
223,223,52743
223,223,52744
223,223,52745
223,223,52746
223,223,52747
223,223,52748
223,223,52749
223,223,52750
223,223,52751
223,223,52752
223,223,52753
223,223,52754
223,223,52755
223,223,52756
223,223,52757
